,0,1,2,3
0,av_depth,1.0,0.10899856629978182,1.1089985662997819
1,max_depth,0.0851928313273067,0.15354125502225918,0.2387340863495659
2,min_depth,0.8308911587518129,0.3126334127116219,1.1435245714634348
3,num_acl,0.31679757674529085,0.2567945123952019,0.5735920891404928
4,num_advcl,0.8234582160806023,0.8922477897167054,1.7157060057973077
5,num_sent,1.3507645807875335e-05,0.25253019426914125,0.2525437019149491
6,num_tok,0.0,0.13565144167507265,0.13565144167507265
7,av_tok_before_root,0.1903645739874691,0.3898580764155276,0.5802226504029967
8,av_len_sent,0.07607362702516629,0.23800902504502192,0.3140826520701882
9,num_cl,0.0007898228980232069,0.20754694418962488,0.2083367670876481
10,num_tu,0.022274764495771038,0.22896429542618457,0.2512390599219556
11,num_compl_tu,0.1964055945206611,0.03184293818590167,0.22824853270656276
12,num_coord,0.08007008157141127,0.18761328088629348,0.26768336245770474
13,num_adj_noun,0.05368797684372506,0.3537832589343943,0.40747123577811933
14,num_part_noun,0.68409487833034,0.9999999999999999,1.68409487833034
15,num_noun_inf,0.026000396530961867,0.07814278774127552,0.10414318427223739
16,pos_sim_nei,0.03581396465088882,0.0,0.03581396465088882
17,lemma_sim_nei,0.03780757356602549,0.01533851713270909,0.05314609069873458
18,pos_sim_all,0.03127348272742214,0.06474738878317267,0.09602087151059481
19,lemma_sim_all,0.031054881656227495,0.029178183326600868,0.06023306498282836
